name,mean,std,rank,type,votes,url
时空轮回,9.065,1.201,5,Game,9394,https://bangumi.tv/subject/1126
闪耀路标,7.077,1.006,2261,Anime,2289,https://bangumi.tv/subject/354414
Angel Beats! 1st beat,7.237,1.376,2457,Game,548,https://bangumi.tv/subject/84520
GIRLS BAND CRY,7.633,1.286,651,Anime,23541,https://bangumi.tv/subject/431767
【我推的孩子】,7.359,1.23,1239,Anime,20438,https://bangumi.tv/subject/386809
魔法少女小圆,8.579,1.193,34,Anime,37454,https://bangumi.tv/subject/9717
寄生兽 生命的准则,7.972,1.082,253,Anime,16176,https://bangumi.tv/subject/88433
散华礼弥,6.801,1.089,3518,Anime,9715,https://bangumi.tv/subject/28230
干物妹！小埋,6.783,1.139,3601,Anime,16365,https://bangumi.tv/subject/120187
LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,6.601,1.391,4633,Anime,1135,https://bangumi.tv/subject/234295
琴浦小姐,6.59,1.247,4773,Anime,2765,https://bangumi.tv/subject/48034
Love Live! 学园偶像 电影,7.296,1.28,1461,Anime,3473,https://bangumi.tv/subject/107199
Another,6.933,1.252,2878,Anime,13889,https://bangumi.tv/subject/20851
孤独摇滚！,8.369,1.248,71,Anime,39001,https://bangumi.tv/subject/328609
BanG Dream!,6.394,1.145,5928,Anime,4840,https://bangumi.tv/subject/186515
LoveLive! Sunshine!! 第二季,6.529,1.329,5144,Anime,2347,https://bangumi.tv/subject/210272
某科学的超电磁炮,7.528,1.098,837,Anime,22628,https://bangumi.tv/subject/2585
Love Live! Superstar!! 第二季,3.447,1.744,10037,Anime,2993,https://bangumi.tv/subject/354146
天使的心跳！,7.56,1.307,773,Anime,22906,https://bangumi.tv/subject/1851
玉子爱情故事,7.921,1.008,289,Anime,15636,https://bangumi.tv/subject/90880
CLANNAD,8.361,1.342,75,Anime,27423,https://bangumi.tv/subject/51
Love Live! 虹咲学园校园偶像同好会 第二季,7.421,1.182,1089,Anime,4291,https://bangumi.tv/subject/335579
Love Live! 虹咲学园校园偶像同好会,7.512,1.114,880,Anime,5885,https://bangumi.tv/subject/296659
笨女孩,6.577,1.167,4885,Anime,10195,https://bangumi.tv/subject/208450
无能的奈奈,6.964,1.117,2744,Anime,6510,https://bangumi.tv/subject/302418
Love Live! Superstar!!,6.508,1.141,5294,Anime,6078,https://bangumi.tv/subject/306742
一周的朋友。,7.151,1.054,1968,Anime,6095,https://bangumi.tv/subject/88493
暗杀教室 第二季,7.706,1.142,542,Anime,7914,https://bangumi.tv/subject/131891
日在校园,6.234,1.776,6828,Anime,9613,https://bangumi.tv/subject/827
Love Live! 第二季,7.277,1.227,1520,Anime,7340,https://bangumi.tv/subject/75989
ReLIFE 完结篇,7.692,1.078,566,Anime,8660,https://bangumi.tv/subject/213816
约会大作战,6.666,1.25,4298,Anime,15174,https://bangumi.tv/subject/49131
声之形,7.075,1.529,2273,Anime,16068,https://bangumi.tv/subject/117777
Love Live!,7.19,1.223,1820,Anime,9985,https://bangumi.tv/subject/49294
夏洛特,6.387,1.437,6011,Anime,19590,https://bangumi.tv/subject/120925
暗杀教室,7.399,1.15,1141,Anime,10985,https://bangumi.tv/subject/106818
樱花庄的宠物女孩,7.419,1.195,1087,Anime,18365,https://bangumi.tv/subject/41488
ReLIFE,7.676,1.097,587,Anime,12086,https://bangumi.tv/subject/126173
