name,mean,std,subject_id
BanG Dream! 少女乐团派对！5周年纪念动画 -CiRCLE THANKS PARTY!-,7.06,1.204,373931
赛马娘 Pretty Derby 新时代之门,7.53,0.943,472620
BanG Dream! 第二季,7.307,1.147,246429
GIRLS BAND CRY,7.64,1.297,431767
BanG Dream! 第三季,7.363,1.076,246430
BanG Dream! 少女乐团派对！☆PICO,7.498,1.047,246431
7月22日,5.953,1.321,220445
闪耀路标,7.077,1.017,354414
【我推的孩子】,7.362,1.242,386809
少女☆歌剧 Revue Starlight,7.914,1.226,214265
BanG Dream! It's MyGO!!!!!,7.989,1.629,428735
LoveLive! Sunshine!!,6.535,1.281,165553
散华礼弥,6.805,1.093,28230
寄生兽 生命的准则,7.965,1.079,88433
LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,6.592,1.396,234295
琴浦小姐,6.603,1.245,48034
孤独摇滚！,8.369,1.259,328609
干物妹！小埋,6.77,1.144,120187
魔法少女小圆,8.581,1.194,9717
Another,6.941,1.255,20851
LoveLive! Sunshine!! 第二季,6.522,1.332,210272
BanG Dream!,6.382,1.134,186515
Love Live! Superstar!! 第二季,3.434,1.747,354146
Love Live! 学园偶像 电影,7.292,1.281,107199
某科学的超电磁炮,7.525,1.1,2585
CLANNAD,8.358,1.347,51
Love Live! 虹咲学园校园偶像同好会 第二季,7.422,1.179,335579
天使的心跳！,7.559,1.312,1851
无能的奈奈,6.96,1.119,302418
Love Live! Superstar!!,6.511,1.141,306742
Love Live! 虹咲学园校园偶像同好会,7.518,1.113,296659
暗杀教室 第二季,7.692,1.142,131891
Love Live! 第二季,7.275,1.228,75989
一周的朋友。,7.155,1.059,88493
玉子爱情故事,7.917,1.01,90880
ReLIFE 完结篇,7.683,1.081,213816
日在校园,6.254,1.777,827
约会大作战,6.65,1.253,49131
暗杀教室,7.386,1.148,106818
樱花庄的宠物女孩,7.419,1.195,41488
Love Live!,7.189,1.224,49294
夏洛特,6.365,1.446,120925
声之形,7.082,1.53,117777
笨女孩,6.57,1.167,208450
ReLIFE,7.67,1.094,126173
